gene,gen_1,gen_8,gen_12,gen_19
ACO2,,-0.009910127955463957,,0.04546743520668931
ACP1,,0.5388782511784785,,-0.9887841778842865
ACS1,-1.0025226553730988,0.4161300138392934,2.7423763638552527,2.597420087453797
ACS2,0.1550604259685414,-0.23272414141483255,-1.8454306112409415,-0.7595479500927382
ACT1,-0.011685631957621675,0.09318319467852809,0.17187911953041615,-0.25223000936640627
ADA2,-0.7237986589598112,0.5590693922919003,1.2403323142755045,0.3222844324596698
ADE1,-0.05183239019750493,0.3732504416346365,-0.016177044589799905,-1.340612073818093
ADE12,0.07675151999114418,0.1596006433284977,-0.09868035939528641,-0.6706614617790024
ADE13,-0.18894240883637284,0.13589268965840554,-0.40676158195637585,-1.3277863253672646
ADE16,-0.1749891778487022,-0.019669913212501982,-0.4260484899470498,0.4790155628297767
ADE17,-0.41944270563996777,0.2354309495183978,-0.1953969117320416,-0.8848876538297622
ADE2,-0.029022333807246337,0.03356691761729965,0.7634806103204973,0.8011539323442914
ADE3,0.10375100051235989,-0.11605374323167068,0.3216257710586797,0.26619442364665924
ADE4,-0.44253924730177907,0.39511160853974764,-0.9747614240960834,-1.4158581364990128
"ADE5,7",-0.23516313711888476,-0.07801530160559048,-0.5108101489395495,-1.6221328140127997
ADE6,-0.0013451174500397148,-0.04820095590496246,-0.8790240027727545,-1.7957689445324665
ADE8,-0.015227478882450657,0.302859690039522,-0.19508649436927514,-0.3478013963284563
ADH1,0.14324373602995263,-0.34554889334813316,-0.4693590601957304,-0.8740900032161883
ADH2,-0.7852427035661206,0.5648043364223506,3.9045396412226165,3.113544103371525
ADH3,-0.1371362691071447,0.010386230925304404,0.3190164072014247,-0.18817863261881798
ADH4,0.021423044588409382,0.12228654581408309,-0.599630348577381,-0.16136132379712123
ADH5,-0.05873455541210015,0.09850928049822327,-0.13757795161468647,-0.786017043098859
ADH6,-0.1769427568426276,0.42331576216109945,0.18662762365277072,-0.7722155140587615
ADH7,-1.4148112830231057,0.15130492396270048,1.169368091431511,1.0706918591515193
ADI1,-0.11954573861781458,0.13680784276358732,0.7365773968754399,0.4792782775523464
ADK1,0.06559215102119251,0.3098379759459667,-0.9868303445788583,-1.2650466042317172
ADK2,-0.39027909955918055,0.4027407382560196,0.0038799395652328356,0.20482522329259054
ADO1,0.1328387299836609,0.056982604106636914,-1.2190069886261108,-2.079359470652011
ADP1,-0.058764813208151016,0.22115931056711746,-0.2817398343131762,0.3231284080091741
ADR1,-0.8630412553674003,-0.3482206703943529,0.7971451180827459,1.731045095873325
ADY2,-0.35734622908387464,0.019928203615570895,4.045460914453949,3.0222537432553644
ADY3,-0.8291269119750166,0.6750585100742739,-0.04370857176301265,0.3464055895625341
ADY4,-0.587997927989507,0.7444058820752278,0.4492909564651102,0.1914076258478056
AEP1,-0.3551878619942741,0.13201991609817681,0.21832413865969036,0.3745569721374272
AEP2,-0.3542628571741518,0.9736778537164384,-0.2796845670073082,-0.4280499924460282
